phase,frame,turningRadius,rearBodyPosX,rearBodyPosY,rearBodyHeading,centerOfRotationX,centerOfRotationY,jointAngle
FORWARD.STOPPED.STEERING,47,17.7233,0.534643,-0.0305259,-0.0398172,1.26679,17.6787,-0.259793
FORWARD.STOPPED.STEERING,48,17.3267,0.548273,-0.0328571,-0.0402909,1.27295,17.2797,-0.265568
FORWARD.STOPPED.STEERING,49,16.9466,0.562008,-0.0353588,-0.0407597,1.27943,16.897,-0.271346
FORWARD.STOPPED.STEERING,50,16.5817,0.575861,-0.0379618,-0.0412351,1.2864,16.5295,-0.277128
FORWARD.STOPPED.STEERING,51,16.2315,0.589832,-0.0405878,-0.0417124,1.29379,16.1765,-0.282912
FORWARD.STOPPED.STEERING,52,15.8949,0.603922,-0.0431662,-0.0421972,1.30165,15.8372,-0.288699
FORWARD.STOPPED.STEERING,53,15.5711,0.61813,-0.0456332,-0.0426942,1.31004,15.5109,-0.294488
FORWARD.STOPPED.STEERING,54,15.2596,0.632453,-0.0479333,-0.0432063,1.31896,15.197,-0.300278
FORWARD.STOPPED.STEERING,55,14.9597,0.646886,-0.050022,-0.0437351,1.32842,14.8949,-0.306067
FORWARD.STOPPED.STEERING,56,14.6708,0.661424,-0.0518665,-0.0442805,1.33839,14.6041,-0.311853
FORWARD.STOPPED.STEERING,57,14.3925,0.676058,-0.0534468,-0.0448408,1.34881,14.324,-0.317635
FORWARD.STOPPED.STEERING,58,14.1242,0.690782,-0.0547557,-0.0454129,1.35961,14.0543,-0.32341
FORWARD.STOPPED.STEERING,59,13.8655,0.705588,-0.0557984,-0.0459923,1.3707,13.7945,-0.329177
FORWARD.STOPPED.STEERING,60,13.6159,0.720469,-0.0565923,-0.0465752,1.38203,13.5441,-0.334934
FORWARD.STOPPED.STEERING,61,13.3751,0.735415,-0.0571613,-0.0471487,1.39339,13.3027,-0.340677
FORWARD.STOPPED.STEERING,62,13.1425,0.750423,-0.0575435,-0.0477142,1.40481,13.0696,-0.34641
FORWARD.STOPPED.STEERING,63,12.9179,0.765482,-0.0577781,-0.0482603,1.41614,12.8447,-0.35213
FORWARD.STOPPED.STEERING,64,12.7007,0.780587,-0.0579093,-0.0487783,1.42727,12.6274,-0.357836
FORWARD.STOPPED.STEERING,65,12.4904,0.795677,-0.0579587,-0.0492743,1.43821,12.417,-0.363535
FORWARD.STOPPED.STEERING,66,12.2867,0.810723,-0.0579621,-0.0497388,1.44884,12.2134,-0.369226
FORWARD.STOPPED.STEERING,67,12.0894,0.82571,-0.0579619,-0.0501693,1.45913,12.0161,-0.374906
FORWARD.STOPPED.STEERING,68,11.8981,0.840615,-0.057995,-0.0505604,1.46901,11.8248,-0.380578
FORWARD.STOPPED.STEERING,69,11.7125,0.85542,-0.058094,-0.0509108,1.47846,11.6391,-0.386243
FORWARD.STOPPED.STEERING,70,11.5323,0.870115,-0.058287,-0.051215,1.48743,11.4588,-0.391899
FORWARD.STOPPED.STEERING,71,11.3572,0.88468,-0.0585942,-0.0514728,1.49591,11.2835,-0.397552
FORWARD.STOPPED.STEERING,72,11.1869,0.899109,-0.0590288,-0.0516835,1.5039,11.1129,-0.403201
FORWARD.STOPPED.STEERING,73,11.0213,0.913389,-0.0595982,-0.0518489,1.51142,10.9468,-0.408848
FORWARD.STOPPED.STEERING,74,10.8599,0.927523,-0.060305,-0.0519685,1.51848,10.7849,-0.414496
FORWARD.STOPPED.STEERING,75,10.7028,0.941509,-0.0611445,-0.052045,1.52512,10.6271,-0.420145
FORWARD.STOPPED.STEERING,76,10.5495,0.95536,-0.0620947,-0.0520819,1.5314,10.473,-0.425801
FORWARD.STOPPED.STEERING,77,10.3988,0.9691,-0.0631038,-0.0520998,1.5375,10.3215,-0.431503
FORWARD.STOPPED.STEERING,78,10.2512,0.982738,-0.0641587,-0.0520931,1.5434,10.1731,-0.437231
FORWARD.STOPPED.STEERING,79,10.1064,0.996297,-0.0652231,-0.0520735,1.54923,10.0274,-0.442996
FORWARD.STOPPED.STEERING,80,9.96468,1.00979,-0.0662886,-0.0520347,1.55497,9.88486,-0.44878
FORWARD.STOPPED.STEERING,81,9.82622,1.02322,-0.0673509,-0.0519773,1.56065,9.74555,-0.454573
FORWARD.STOPPED.STEERING,82,9.69098,1.03661,-0.0684051,-0.0519012,1.56628,9.60946,-0.460371
FORWARD.STOPPED.STEERING,83,9.55889,1.04997,-0.069451,-0.0518084,1.57191,9.47655,-0.466171
FORWARD.STOPPED.STEERING,84,9.42985,1.06332,-0.0704842,-0.0516983,1.57754,9.3467,-0.471973
FORWARD.STOPPED.STEERING,85,9.30381,1.07666,-0.0715006,-0.0515726,1.58319,9.21987,-0.477775
FORWARD.STOPPED.STEERING,86,9.18041,1.09002,-0.0724901,-0.0514373,1.58895,9.09571,-0.483588
FORWARD.STOPPED.STEERING,87,9.05976,1.10339,-0.0734608,-0.0512951,1.59483,8.97431,-0.489403
FORWARD.STOPPED.STEERING,88,8.94171,1.11681,-0.0744039,-0.0511426,1.60083,8.85554,-0.495223
FORWARD.STOPPED.STEERING,89,8.82615,1.13026,-0.0753195,-0.0509825,1.60696,8.73928,-0.501048
FORWARD.STOPPED.STEERING,90,8.71279,1.14376,-0.0762071,-0.0508191,1.61325,8.62526,-0.506889
FORWARD.STOPPED.STEERING,91,8.60229,1.1573,-0.0770764,-0.0506512,1.61974,8.51411,-0.512708
FORWARD.STOPPED.STEERING,92,8.4938,1.17089,-0.0779279,-0.0504739,1.62632,8.40498,-0.518545
FORWARD.STOPPED.STEERING,93,8.38779,1.18453,-0.0787576,-0.0502999,1.63315,8.29836,-0.52437
FORWARD.STOPPED.STEERING,94,8.28364,1.19822,-0.0795656,-0.0501193,1.64011,8.1936,-0.530215
FORWARD.STOPPED.STEERING,95,8.18184,1.21195,-0.080355,-0.0499398,1.64727,8.09122,-0.536047
FORWARD.STOPPED.STEERING,96,8.08184,1.22574,-0.0811275,-0.0497525,1.65456,7.99065,-0.541894
FORWARD.STOPPED.STEERING,97,7.98399,1.23957,-0.0818819,-0.0495652,1.66202,7.89224,-0.547732
FORWARD.STOPPED.STEERING,98,7.88789,1.25344,-0.082619,-0.0493752,1.66963,7.7956,-0.553582
FORWARD.STOPPED.STEERING,99,7.79385,1.26734,-0.0833408,-0.0491845,1.6774,7.70103,-0.55942
FORWARD.STOPPED.STEERING,100,7.70171,1.28126,-0.0840606,-0.0489827,1.68523,7.60836,-0.565251
